year,standard_tasting_fee,standard_yoy,reserve_tasting_fee,reserve_yoy
2014,13.81,,26.46,
2015,14.69,0.06372194062273707,29.37,0.10997732426303855
2016,16.45,0.11980939414567732,33.86,0.15287708546135506
2017,19.94,0.21215805471124632,32.99,-0.02569403425871227
2018,19.54,-0.02006018054162498,33.26,0.008184298272203577
2019,,,,
2020,31.58,0.616171954964176,54.86,0.6494287432351173
2021,30.9,-0.021532615579480677,57.09,0.040648924535180535
2022,40.94,0.32491909385113266,73.94,0.2951480119110176
2023,38.19,-0.067171470444553,71.66,-0.0308358128212064
