CY_Month_Number,Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
1,2012,1-Production,0-Category Total,1-Production,775,38830836,Wine,FALSE
1,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1141,42444611,Wine,FALSE
1,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1141,42444611,Wine,FALSE
1,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,612,9288892,Wine,FALSE
1,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,134,8554736,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1740,915148913,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1740,915148913,Wine,FALSE
1,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1850,1850,Wine,FALSE
1,2012,1-Production,1-Production,1-Low Alcohol %,672,30217062,Wine,FALSE
1,2012,1-Production,1-Production,2-Medium and High Alcohol %,468,6186710,Wine,FALSE
1,2012,1-Production,1-Production,4-Artificially Carbonated Wine,4,10912,Wine,FALSE
1,2012,1-Production,1-Production,5-Sparkling Wine,21,1913548,Wine,FALSE
1,2012,1-Production,1-Production,6-Hard Cider,17,502604,Wine,FALSE
1,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,963,36750624,Wine,FALSE
1,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,745,3527475,Wine,FALSE
1,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,52,101460,Wine,FALSE
1,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,177,1047816,Wine,FALSE
1,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,33,1017235,Wine,FALSE
1,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,,,Wine,TRUE
1,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,,,Wine,TRUE
1,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,536,8490208,Wine,FALSE
1,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,328,674375,Wine,FALSE
1,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,80,120324,Wine,FALSE
1,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,13,3984,Wine,FALSE
1,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,121,4563675,Wine,FALSE
1,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,21,3991061,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1564,756381260,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1314,140590833,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,44,556119,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,58,287829,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,251,15874682,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,42,1458189,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1235,145423413,Wine,FALSE
1,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1590,769725500,Wine,FALSE
2,2012,1-Production,0-Category Total,1-Production,656,21396241,Wine,FALSE
2,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1178,49148616,Wine,FALSE
2,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1178,49148616,Wine,FALSE
2,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,613,11452981,Wine,FALSE
2,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,129,9716669,Wine,FALSE
