"Permit_Number","Owner_Name","Operating_Name","Street","City","State","Prem_Zip","Prem_County","Industry_Type","New_Permit_Flag"
"AK-W-15001","ALASKA MEADS LLC","RING OF FIRE MEADERY","178 E BUNNELL AVE","HOMER","AK",99603,"KENAI PENINSULA","Wine Producer",0
"AK-W-21001","ALASKA BERRIES LLC",,"48660 W POPPY LN","SOLDOTNA","AK",99669,,"Wine Producer",0
"AK-W-21004","DOUBLE SHOVEL CIDER COMPANY, LLC",,"502 W 58TH AVE UNIT C AND D","ANCHORAGE","AK",99518,,"Wine Producer",0
"AK-W-21005","BELL'S VINEYARD AND WINERY LLC",,"11900 INDUSTRY WAY UNIT M-7","ANCHORAGE","AK",99515,"ANCHORAGE","Wine Producer",0
"AK-W-21007","TWO SEASONS MEAD, LLC","Two Seasons Meadery","801 E 82ND AVE UNIT D-3","ANCHORAGE","AK",99518,,"Wine Producer",0
"AK-W-21008","KING STREET BREWING LLC","King Street Brewing Company","9050 KING ST","ANCHORAGE","AK",99515,,"Wine Producer",0
"AK-W-21009","ALASKA PACIFC BEVERAGE COMPANY LLC","49th State Brewing","721 W DEPOT DRIVE STE 49","ANCHORAGE","AK",99501,,"Wine Producer",0
"AK-W-21010","DEVIL'S CLUB BREWING LLC",,"100 N FRANKLIN ST","JUNEAU","AK",99810,,"Wine Producer",0
"AK-W-21011","BLACK SPRUCE BREWING COMPANY, LLC","Black Spruce Fruit Project","3290 PEGER RD STE B","FAIRBANKS","AK",99709,,"Wine Producer",0
"AK-W-21012","BEARD BROTHER'S MEADERY LLC",,"1223 SKYLINE DR","FAIRBANKS","AK",99712,,"Wine Producer",0
"AK-W-21013","OLD BEAR HONEY, LLC","Old Bear Honey","35089 W GLENN HWY","SUTTON","AK",99674,"MATANUSKA-SUSITNA","Wine Producer",0
"AK-W-21014","LATITUDE 65 BREWING COMPANY, LLC","Lat 65 Ciderhouse","150 EAGLE AVE","FAIRBANKS","AK",99701,"FNSB","Wine Producer",0
"AK-W-21015","ODIN, INC.","Odin Mead","3585 EAST END RD UNIT 2","HOMER","AK",99603,"KENAI PENINSULA BOROUGH","Wine Producer",0
"AK-W-21016","BEARD BROTHERS HANDIWORKS LLC","Three Northmen","102 MAIN ST","HAINES","AK",99827,,"Wine Producer",0
"AK-W-21017","SWEETGALE WINES, LLC","Sweetgale Wines","3657 MAIN ST","HOMER","AK",99603,"KENAI PENINSULA BOROUGH","Wine Producer",0
"AK-W-21019","HIVE MIND MEADERY LLC","Hive Mind Meadery LLC","600 W 58TH AVE STE A","ANCHORAGE","AK",99515,,"Wine Producer",0
"AK-W-21020","RAVENS RING, LLC","Ravens Ring Brewing Company","12150 INDUSTRY WAY UNIT Q-1","ANCHORAGE","AK",99515,,"Wine Producer",0
"AK-W-21021","TWISTER CREEK, INC.","Alaska Ciderworks and Meadery","37083 S TALKEETNA SPUR RD","TALKEETNA","AK",99676,"MATANUSKA SUSITNA","Wine Producer",0
"AK-W-21022","DOUBLE SHOVEL CIDER COMPANY, LLC","Double Shovel Cider Kodiak","101 CENTER AVE","KODIAK","AK",99615,,"Wine Producer",0
"AK-W-21023","CSMASM LLC","61 Degrees North Winery","5001 ARCTIC BLVD STE 102","ANCHORAGE","AK",99503,,"Wine Producer",0
"AK-W-21024","ZIP KOMBUCHA LLC","Zip Kombucha","8161 SCHOON ST","ANCHORAGE","AK",99518,,"Wine Producer",0
"AK-W-21025","SWIFTWATER WINE LLC","Swiftwater Wine","5766 N SOLITUDE ST","WASILLA","AK",99623,,"Wine Producer",0
"AK-W-21026","ALASKA LEGENDS LLC","Alaska legends","319 DOCK ST","KETCHIKAN","AK",99901,,"Wine Producer",0
"AK-W-21027","HARBOR MOUNTAIN BREWING COMPANY LLC","Harbor Mountain Brewing Company","1209 SAWMILL CREEK RD UNIT A","SITKA","AK",99835,,"Wine Producer",0
"AK-W-21028","THE RUSTIC PEONY, LLC","Swamp Donkey Beverage Company","15705 BRODY RD","NINILCHIK","AK",99639,,"Wine Producer",0
"AK-W-21029","ALASKA MEADS, LLC","Arctic Buzz Meadery","44109 STERLING HWY STE C","SOLDOTNA","AK",99669,,"Wine Producer",0
"AK-W-21030","FRIENDS BY THE OCEAN, LLC","Friends by the Ocean","38057 CHINIAK HWY","KODIAK","AK",99615,,"Wine Producer",0
"AK-W-21031","ONSITE BREWING COMPANY, LLC","Cirque Cider Company","3211 DENALI ST","ANCHORAGE","AK",99503,"MUNICIPALITY OF ANCHORAGE","Wine Producer",0
"AK-W-21032","TRITON LLC","Legends of Alaska Lumberjack cove","7691 N TONGASS HWY STE 100","KETCHIKAN","AK",99901,,"Wine Producer",0
"AK-W-273","BEAR CREEK WINERY, LLC",,"60203 BEAR CREEK DR","HOMER","AK",99603,"KENAI PENINSULA","Wine Producer",0
"AL-W-11","PERDIDO VINEYARDS OF GEORGIA, INC.",,"22100 COUNTY RD","PERDIDO","AL",36562,"BALDWIN","Wine Producer",0
"AL-W-13","JAHN MICHEL COPPEY AND JANIE R. COPPEY","WILLS CREEK VINEYARDS","10522 DUCK SPRINGS RD","ATTALLA","AL",35954,"ETOWAH","Wine Producer",0
"AL-W-15000","FIRST FRUITS, L.L.C.","THE WINERY ON MAIN","613 2ND AVE","CLANTON","AL",35045,"CHILTON","Wine Producer",0
"AL-W-15003","CMC WINERY, INC.","MORGAN CREEK VINEYARDS","181 MORGAN CREEK LN","HARPERSVILLE","AL",35078,"SHELBY","Wine Producer",0
"AL-W-15004","JULES J.  BERTA VINEYARDS, LLC",,"1441 DARDEN AVE","ALBERTVILLE","AL",35951,"MARSHALL","Wine Producer",0
"AL-W-15005","WHIPPOORWILL VINEYARD, L.L.C.","WHIPPOORWILL VINEYARD","4282 COUNTY RD 31","NOTASULGA","AL",36866,"MACON","Wine Producer",0
"AL-W-15007","THE WINERY AT PEPPER PLACE, LP JAHN M. COPPYA, CHARLES T. VIZZINA, GAYLE TEAL DICK, GP'S",,"2801 2ND AVE SUITE B","BIRMINGHAM","AL",35233,"JEFFERSON","Wine Producer",0
"AL-W-15008","WAKEFIELD ENTERPRISES, INC.","HODGES VINEYARDS","230 LEE RD 71","CAMP HILL","AL",36850,"TALLAPOOSA","Wine Producer",0
"AL-W-15009","HIDDEN MEADOW VINEYARD, L.L.C.",,"664 COUNTY ROAD 606","JEMISON","AL",35085,"CHILTON","Wine Producer",0
"AL-W-15010","LEE INVESTMENT CONSULTANTS LLC","MARAELLA VINEYARDS & WINERY","5296 OLD US HWY 278","HOKES BLUFF","AL",35903,"ETOWAH","Wine Producer",0
"AL-W-15011","FRUITHURST WINERY LLC","THE FRUITHURST WINERY CO.","27091 COUNTY ROAD 49","FRUITHURST","AL",36262,"CLEBURNE","Wine Producer",0
"AL-W-15012","FOLKLORE BREWING & MEADERY, LLC","FOLKLORE BREWING & MEADERY","153 MARY LOU LN STE 1","DOTHAN","AL",36301,"HOUSTON","Wine Producer",0
"AL-W-20316","FORTITUDINE VINEYARD LLC",,"280 VINYARD LN","EUTAW","AL",35462,"GREEN","Wine Producer",0
"AL-W-20426","SOUTHEAST WINE, LLC","Ozan Vineyard and Cellars","173 HIGHWAY 301","CALERA","AL",35040,"SHELBY","Wine Producer",0
"AL-W-21001","LEWIS LAKES VINEYARDS, LLC","Lewis Lakes Vineyards","1075 CHELSEA RD","COLUMBIANA","AL",35051,"SHELBY","Wine Producer",0
"AL-W-21002","THE FAIR HOPE BREWING COMPANY LLC","The Fair Hope Brewing Company","914 NICHOLS AVE","FAIRHOPE","AL",36532,"BALDWIN","Wine Producer",0
