winery,wine,vintage,varietal,graph_category,general_category,region,subregion,price,price_type,critic,critic_score,cases_produced,alcohol_pct,estate,single_vineyard,product_tier,source_name,source_url,price_date,data_confidence
Détente,Eastern Bloc,2018.0,"Cabernet Sauvignon, Merlot",Bordeaux Blend,Red,Paso Robles,,55.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Eastern Bloc,2021.0,"Cabernet Sauvignon, Merlot",Bordeaux Blend,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Experimental #004,2022.0,Graciano,Graciano,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Margot,2023.0,Pinot Noir,Pinot Noir,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Classified,2022.0,"Pinot Noir, Grenache",Red Blend,Red,Paso Robles,,35.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Western Block,2022.0,"Syrah, Grenache, Graciano",Rhone Blend,Red,Paso Robles,,45.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Syrah,2023.0,Syrah,Syrah,Red,Paso Robles,,50.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Rosé,2024.0,Grenache,Rosé,Rosé,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Détente,Pedro Ximenez,2023.0,Pedro Ximenez,Pedro Ximenez,White,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Full Boar Red,,"Grenache, Barbera, Petite Sirah, Zinfandel",Red Blend,Red,Paso Robles,,30.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Barbera,2022.0,Barbera,Barbera,Red,Paso Robles,,48.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Cellar Club Le Petit Sanglier,2023.0,"Merlot, Cabernet Sauvignon, Petit Verdot, Tannat",Bordeaux Blend,Red,Paso Robles,,58.0,Historical listed price,,,,,False,False,Limited,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Still Water Cabernet Sauvignon,2021.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,58.0,Historical listed price,,,,,False,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Estate Cabernet Sauvignon,2022.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,60.0,Historical listed price,,,,,True,False,Estate,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Estate Cabernet Sauvignon,2023.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,60.0,Winery retail / workbook,,,,14.5,True,False,Estate,Eberle Winery + Rudder workbook,https://shop.eberlewinery.com/SHOP.AMS?LEVEL=BOT&PART=CABERNET23,2026-09-17,High
Eberle,Vineyard Selection Cabernet Sauvignon,2023.0,Cabernet Sauvignon,Cabernet Sauvignon,Red,Paso Robles,,30.0,Winery retail / workbook,Wine Enthusiast,91.0,,13.9,False,False,Core,Eberle Winery + Rudder workbook,https://shop.eberlewinery.com/SHOP.AMS?LEVEL=BOT&PART=VBCAB23,2026-09-17,High
Eberle,Cellar Club Grenache,2023.0,Grenache,Grenache,Red,Paso Robles,,60.0,Historical listed price,,,,,False,False,Limited,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
Eberle,Vintage of Valor,2023.0,"Cabernet Sauvignon, Barbera, Zinfandel",Red Blend,Red,Paso Robles,,35.0,Historical listed price,,,,,False,False,Core,Wine Prices_Paso - 2025-11-15.xlsx,,2025-11-15,Moderate
